---------------------------------------------------------------------------
|  Fault    |  No. detected   |   Level    |  c0   |  c1   |  n0   |  n1  |
|   56-0    |        0        |     0      |   1   |   1   |   0   | 5320 |
|   56-1    |        0        |     0      |   1   |   1   |   0   | 5320 |
|   60-0    |        0        |     0      |   1   |   1   |   0   | 5320 |
|   60-1    |        0        |     0      |   1   |   1   |   0   | 5320 |
|   63-0    |       18        |     0      |   1   |   1   |   0   | 5320 |
|   63-1    |        0        |     0      |   1   |   1   |   0   | 5320 |
|   66-0    |        0        |     0      |   1   |   1   |   0   | 5320 |
|   66-1    |        0        |     0      |   1   |   1   |   0   | 5320 |
|   69-0    |        0        |     0      |   1   |   1   |   0   | 5320 |
|   69-1    |        0        |     0      |   1   |   1   |   0   | 5320 |
|   73-0    |        0        |     0      |   1   |   1   |   0   | 5320 |
|   73-1    |        0        |     0      |   1   |   1   |   0   | 5320 |
|   76-0    |       15        |     0      |   1   |   1   |   0   | 5320 |
|   76-1    |        0        |     0      |   1   |   1   |   0   | 5320 |
|   79-0    |        0        |     0      |   1   |   1   |   0   | 5320 |
|   79-1    |        0        |     0      |   1   |   1   |   0   | 5320 |
|   82-0    |        0        |     0      |   1   |   1   |   0   | 5320 |
|   82-1    |        0        |     0      |   1   |   1   |   0   | 5320 |
|   86-0    |        0        |     0      |   1   |   1   |   0   | 5320 |
|   86-1    |        0        |     0      |   1   |   1   |   0   | 5320 |
|   89-0    |       15        |     0      |   1   |   1   |   0   | 5320 |
|   89-1    |        0        |     0      |   1   |   1   |   0   | 5320 |
|   92-0    |        0        |     0      |   1   |   1   |   0   | 5320 |
|   92-1    |        0        |     0      |   1   |   1   |   0   | 5320 |
|   95-0    |        0        |     0      |   1   |   1   |   0   | 5320 |
|   95-1    |        0        |     0      |   1   |   1   |   0   | 5320 |
|   99-0    |        0        |     0      |   1   |   1   |   0   | 5320 |
|   99-1    |        0        |     0      |   1   |   1   |   0   | 5320 |
|  102-0    |       12        |     0      |   1   |   1   |   0   | 5320 |
|  102-1    |        0        |     0      |   1   |   1   |   0   | 5320 |
|  105-0    |        0        |     0      |   1   |   1   |   0   | 5320 |
|  105-1    |        0        |     0      |   1   |   1   |   0   | 5320 |
|  108-0    |        0        |     0      |   1   |   1   |   0   | 5320 |
|  108-1    |        0        |     0      |   1   |   1   |   0   | 5320 |
|  112-0    |        0        |     0      |   1   |   1   |   0   | 5320 |
|  112-1    |        0        |     0      |   1   |   1   |   0   | 5320 |
|  115-0    |        0        |     0      |   1   |   1   |   0   | 5320 |
|  115-1    |        0        |     0      |   1   |   1   |   0   | 5320 |
|  223-0    |        2        |     4      |  20   |   6   | 3004  | 2090 |
|  223-1    |        3        |     4      |  20   |   6   | 3004  | 2090 |
|  329-0    |        3        |     8      |  29   |  18   | 1985  | 2966 |
|  329-1    |        2        |     8      |  29   |  18   | 1985  | 2966 |
|  370-0    |        3        |     12     |  47   |  53   | 1895  | 2881 |
|  370-1    |        2        |     12     |  47   |  53   | 1895  | 2881 |
|  421-0    |        2        |     16     |  10   |  13   | 3157  | 1738 |
|  421-1    |        3        |     16     |  10   |  13   | 3157  | 1738 |
|  430-0    |        2        |     17     |  11   |   9   | 2998  | 1776 |
|  430-1    |        3        |     17     |  11   |   9   | 2998  | 1776 |
|  431-0    |        2        |     17     |  13   |   9   | 3010  | 1776 |
|  431-1    |        3        |     17     |  13   |   9   | 3010  | 1776 |
|  432-0    |        0        |     17     |  15   |   9   | 5034  |   0  |
|  432-1    |        5        |     17     |  15   |   9   | 5034  |   0  |
|  118-0    |        0        |     1      |   2   |   2   | 5305  |   0  |
|  118-1    |       13        |     1      |   2   |   2   | 5305  |   0  |
|  119-0    |        0        |     1      |   2   |   2   | 5305  |   0  |
|  119-1    |       12        |     1      |   2   |   2   | 5305  |   0  |
|  122-0    |        0        |     1      |   2   |   2   | 1061  | 4244 |
|  122-1    |        2        |     1      |   2   |   2   | 1061  | 4244 |
|  123-0    |        0        |     1      |   2   |   2   | 1061  | 4244 |
|  123-1    |        0        |     1      |   2   |   2   | 1061  | 4244 |
|  126-0    |       12        |     1      |   2   |   2   | 3183  | 2122 |
|  126-1    |        3        |     1      |   2   |   2   | 3183  | 2122 |
|  127-0    |        0        |     1      |   2   |   2   | 3183  | 2122 |
|  127-1    |        0        |     1      |   2   |   2   | 3183  | 2122 |
|  130-0    |        0        |     1      |   2   |   2   | 5305  |   0  |
|  130-1    |        9        |     1      |   2   |   2   | 5305  |   0  |
|  131-0    |        0        |     1      |   2   |   2   | 5305  |   0  |
|  131-1    |        0        |     1      |   2   |   2   | 5305  |   0  |
|  134-0    |        0        |     1      |   2   |   2   | 5305  |   0  |
|  134-1    |        9        |     1      |   2   |   2   | 5305  |   0  |
|  135-0    |        0        |     1      |   2   |   2   | 5305  |   0  |
|  135-1    |        0        |     1      |   2   |   2   | 5305  |   0  |
|  138-0    |        0        |     1      |   2   |   2   | 5305  |   0  |
|  138-1    |        9        |     1      |   2   |   2   | 5305  |   0  |
|  139-0    |        0        |     1      |   2   |   2   | 5305  |   0  |
|  139-1    |        0        |     1      |   2   |   2   | 5305  |   0  |
|  142-0    |        0        |     1      |   2   |   2   | 5305  |   0  |
|  142-1    |        9        |     1      |   2   |   2   | 5305  |   0  |
|  143-0    |        0        |     1      |   2   |   2   | 5305  |   0  |
|  143-1    |        0        |     1      |   2   |   2   | 5305  |   0  |
|  146-0    |        0        |     1      |   2   |   2   | 5305  |   0  |
|  146-1    |        9        |     1      |   2   |   2   | 5305  |   0  |
|  147-0    |        0        |     1      |   2   |   2   | 5305  |   0  |
|  147-1    |        0        |     1      |   2   |   2   | 5305  |   0  |
|  150-0    |        0        |     1      |   2   |   2   | 5305  |   0  |
|  150-1    |        9        |     1      |   2   |   2   | 5305  |   0  |
|  151-0    |        0        |     1      |   2   |   2   | 5305  |   0  |
|  151-1    |        0        |     1      |   2   |   2   | 5305  |   0  |
|  154-0    |       13        |     2      |   4   |   2   |   0   | 5290 |
|  154-1    |        0        |     2      |   4   |   2   |   0   | 5290 |
|  157-0    |        6        |     2      |   2   |   4   |   0   | 5285 |
|  157-1    |        0        |     2      |   2   |   4   |   0   | 5285 |
|  158-0    |        6        |     2      |   2   |   4   |   0   | 5285 |
|  158-1    |        0        |     2      |   2   |   4   |   0   | 5285 |
|  159-0    |        8        |     2      |   4   |   2   |   0   | 5298 |
|  159-1    |        0        |     2      |   4   |   2   |   0   | 5298 |
|  162-0    |        9        |     2      |   4   |   2   | 2114  | 3180 |
|  162-1    |       12        |     2      |   4   |   2   | 2114  | 3180 |
|  165-0    |        9        |     2      |   4   |   2   |   0   | 5290 |
|  165-1    |        0        |     2      |   4   |   2   |   0   | 5290 |
|  168-0    |        9        |     2      |   4   |   2   |   0   | 5290 |
|  168-1    |        0        |     2      |   4   |   2   |   0   | 5290 |
|  171-0    |        9        |     2      |   4   |   2   |   0   | 5290 |
|  171-1    |        0        |     2      |   4   |   2   |   0   | 5290 |
|  174-0    |        9        |     2      |   4   |   2   |   0   | 5290 |
|  174-1    |        0        |     2      |   4   |   2   |   0   | 5290 |
|  177-0    |        9        |     2      |   4   |   2   |   0   | 5290 |
|  177-1    |        0        |     2      |   4   |   2   |   0   | 5290 |
|  180-0    |        9        |     2      |   4   |   2   |   0   | 5290 |
|  180-1    |        0        |     2      |   4   |   2   |   0   | 5290 |
|  183-0    |        0        |     2      |   2   |   4   | 4241  | 1057 |
|  183-1    |        0        |     2      |   2   |   4   | 4241  | 1057 |
|  184-0    |        0        |     2      |   2   |   4   | 5298  |   0  |
|  184-1    |        0        |     2      |   2   |   4   | 5298  |   0  |
|  185-0    |        0        |     2      |   2   |   4   | 5299  |   0  |
|  185-1    |        8        |     2      |   2   |   4   | 5299  |   0  |
|  186-0    |        0        |     2      |   2   |   4   | 5302  |   0  |
|  186-1    |        8        |     2      |   2   |   4   | 5302  |   0  |
|  187-0    |        0        |     2      |   2   |   4   | 5300  |   0  |
|  187-1    |        0        |     2      |   2   |   4   | 5300  |   0  |
|  188-0    |        0        |     2      |   2   |   4   | 5300  |   0  |
|  188-1    |        0        |     2      |   2   |   4   | 5300  |   0  |
|  189-0    |        0        |     2      |   2   |   4   | 5300  |   0  |
|  189-1    |        0        |     2      |   2   |   4   | 5300  |   0  |
|  190-0    |        0        |     2      |   2   |   4   | 5300  |   0  |
|  190-1    |        0        |     2      |   2   |   4   | 5300  |   0  |
|  191-0    |        0        |     2      |   2   |   4   | 5300  |   0  |
|  191-1    |        0        |     2      |   2   |   4   | 5300  |   0  |
|  192-0    |        0        |     2      |   2   |   4   | 5300  |   0  |
|  192-1    |        0        |     2      |   2   |   4   | 5300  |   0  |
|  193-0    |        0        |     2      |   2   |   4   | 5300  |   0  |
|  193-1    |        0        |     2      |   2   |   4   | 5300  |   0  |
|  194-0    |        0        |     2      |   2   |   4   | 5300  |   0  |
|  194-1    |        0        |     2      |   2   |   4   | 5300  |   0  |
|  195-0    |        0        |     2      |   2   |   4   | 5300  |   0  |
|  195-1    |        0        |     2      |   2   |   4   | 5300  |   0  |
|  196-0    |        0        |     2      |   2   |   4   | 5300  |   0  |
|  196-1    |        0        |     2      |   2   |   4   | 5300  |   0  |
|  197-0    |        0        |     2      |   2   |   4   | 5300  |   0  |
|  197-1    |        0        |     2      |   2   |   4   | 5300  |   0  |
|  198-0    |        0        |     2      |   2   |   4   | 5300  |   0  |
|  198-1    |        0        |     2      |   2   |   4   | 5300  |   0  |
|  199-0    |        9        |     3      |   5   |  19   | 2094  | 3010 |
|  199-1    |       12        |     3      |   5   |  19   | 2094  | 3010 |
|  203-0    |       10        |     4      |  20   |   6   | 3004  | 2090 |
|  203-1    |       13        |     4      |  20   |   6   | 3004  | 2090 |
|  213-0    |        2        |     4      |  20   |   6   | 3004  | 2090 |
|  213-1    |        0        |     4      |  20   |   6   | 3004  | 2090 |
|  224-0    |       12        |     5      |   9   |  11   | 2072  | 3013 |
|  224-1    |       10        |     5      |   9   |  11   | 2072  | 3013 |
|  227-0    |        0        |     5      |   9   |  11   | 2076  | 3009 |
|  227-1    |        0        |     5      |   9   |  11   | 2076  | 3009 |
|  230-0    |        0        |     5      |   9   |  11   |   0   | 5105 |
|  230-1    |        0        |     5      |   9   |  11   |   0   | 5105 |
|  233-0    |        0        |     5      |   9   |  11   | 2072  | 3013 |
|  233-1    |        0        |     5      |   9   |  11   | 2072  | 3013 |
|  236-0    |        0        |     5      |   9   |  11   | 2072  | 3013 |
|  236-1    |        0        |     5      |   9   |  11   | 2072  | 3013 |
|  239-0    |        0        |     5      |   9   |  11   | 2072  | 3013 |
|  239-1    |        0        |     5      |   9   |  11   | 2072  | 3013 |
|  242-0    |        0        |     5      |   8   |   2   | 2082  | 2998 |
|  242-1    |        2        |     5      |   8   |   2   | 2082  | 2998 |
|  243-0    |        0        |     5      |   9   |  11   | 2072  | 3013 |
|  243-1    |        0        |     5      |   9   |  11   | 2072  | 3013 |
|  246-0    |        0        |     5      |   8   |   2   |   0   | 5238 |
|  246-1    |        0        |     5      |   8   |   2   |   0   | 5238 |
|  247-0    |        0        |     5      |   9   |  11   | 2072  | 3013 |
|  247-1    |        0        |     5      |   9   |  11   | 2072  | 3013 |
|  250-0    |        6        |     5      |   8   |   2   |   0   | 5118 |
|  250-1    |        0        |     5      |   8   |   2   |   0   | 5118 |
|  251-0    |        0        |     5      |   9   |  11   | 2072  | 3013 |
|  251-1    |        0        |     5      |   9   |  11   | 2072  | 3013 |
|  254-0    |        0        |     5      |   8   |   2   | 2082  | 2998 |
|  254-1    |        0        |     5      |   8   |   2   | 2082  | 2998 |
|  255-0    |        0        |     5      |   8   |   2   | 2082  | 2998 |
|  255-1    |        0        |     5      |   8   |   2   | 2082  | 2998 |
|  256-0    |        0        |     5      |   8   |   2   | 2082  | 2998 |
|  256-1    |        0        |     5      |   8   |   2   | 2082  | 2998 |
|  257-0    |        0        |     5      |   8   |   2   | 2082  | 2998 |
|  257-1    |        0        |     5      |   8   |   2   | 2082  | 2998 |
|  258-0    |        0        |     5      |   8   |   2   | 2082  | 2998 |
|  258-1    |        0        |     5      |   8   |   2   | 2082  | 2998 |
|  259-0    |        0        |     5      |   8   |   2   | 2082  | 2998 |
|  259-1    |        0        |     5      |   8   |   2   | 2082  | 2998 |
|  260-0    |        8        |     6      |  16   |   3   | 2983  | 2066 |
|  260-1    |        6        |     6      |  16   |   3   | 2983  | 2066 |
|  263-0    |        8        |     6      |  16   |   3   | 2983  | 2066 |
|  263-1    |        6        |     6      |  16   |   3   | 2983  | 2066 |
|  264-0    |        8        |     6      |  16   |   3   |  991  | 4237 |
|  264-1    |        0        |     6      |  16   |   3   |  991  | 4237 |
|  267-0    |        8        |     6      |  16   |   3   |   0   | 5284 |
|  267-1    |        0        |     6      |  16   |   3   |   0   | 5284 |
|  270-0    |        8        |     6      |  16   |   3   |   0   | 5293 |
|  270-1    |        0        |     6      |  16   |   3   |   0   | 5293 |
|  273-0    |        8        |     6      |  16   |   3   |   0   | 5293 |
|  273-1    |        0        |     6      |  16   |   3   |   0   | 5293 |
|  276-0    |        8        |     6      |  16   |   3   |   0   | 5293 |
|  276-1    |        0        |     6      |  16   |   3   |   0   | 5293 |
|  279-0    |        8        |     6      |  16   |   3   |   0   | 5293 |
|  279-1    |        0        |     6      |  16   |   3   |   0   | 5293 |
|  282-0    |        8        |     6      |  16   |   3   |   0   | 5293 |
|  282-1    |        0        |     6      |  16   |   3   |   0   | 5293 |
|  285-0    |        8        |     6      |  16   |   3   |   0   | 5293 |
|  285-1    |        0        |     6      |  16   |   3   |   0   | 5293 |
|  288-0    |        8        |     6      |  16   |   3   |   0   | 5291 |
|  288-1    |        0        |     6      |  16   |   3   |   0   | 5291 |
|  289-0    |        8        |     6      |  16   |   3   |   0   | 5287 |
|  289-1    |        0        |     6      |  16   |   3   |   0   | 5287 |
|  290-0    |        8        |     6      |  16   |   3   |   0   | 5293 |
|  290-1    |        0        |     6      |  16   |   3   |   0   | 5293 |
|  291-0    |        8        |     6      |  16   |   3   |   0   | 5293 |
|  291-1    |        0        |     6      |  16   |   3   |   0   | 5293 |
|  292-0    |        8        |     6      |  16   |   3   |   0   | 5293 |
|  292-1    |        0        |     6      |  16   |   3   |   0   | 5293 |
|  293-0    |        8        |     6      |  16   |   3   |   0   | 5293 |
|  293-1    |        0        |     6      |  16   |   3   |   0   | 5293 |
|  294-0    |        8        |     6      |  16   |   3   |   0   | 5293 |
|  294-1    |        0        |     6      |  16   |   3   |   0   | 5293 |
|  295-0    |        8        |     6      |  16   |   3   |   0   | 5293 |
|  295-1    |        0        |     6      |  16   |   3   |   0   | 5293 |
|  296-0    |        8        |     7      |  17   |  28   | 2972  | 1989 |
|  296-1    |       13        |     7      |  17   |  28   | 2972  | 1989 |
|  300-0    |        6        |     7      |   4   |  17   | 2062  | 2977 |
|  300-1    |        8        |     7      |   4   |  17   | 2062  | 2977 |
|  301-0    |        0        |     7      |   4   |  17   | 5281  |   0  |
|  301-1    |        8        |     7      |   4   |  17   | 5281  |   0  |
|  302-0    |        0        |     7      |   4   |  17   | 5277  |   0  |
|  302-1    |        8        |     7      |   4   |  17   | 5277  |   0  |
|  303-0    |        0        |     7      |   4   |  17   | 5283  |   0  |
|  303-1    |        8        |     7      |   4   |  17   | 5283  |   0  |
|  304-0    |        0        |     7      |   4   |  17   | 5283  |   0  |
|  304-1    |        8        |     7      |   4   |  17   | 5283  |   0  |
|  305-0    |        0        |     7      |   4   |  17   | 5283  |   0  |
|  305-1    |        8        |     7      |   4   |  17   | 5283  |   0  |
|  306-0    |        0        |     7      |   4   |  17   | 5283  |   0  |
|  306-1    |        8        |     7      |   4   |  17   | 5283  |   0  |
|  307-0    |        0        |     7      |   4   |  17   | 5283  |   0  |
|  307-1    |        8        |     7      |   4   |  17   | 5283  |   0  |
|  308-0    |        0        |     7      |   4   |  17   | 5283  |   0  |
|  308-1    |        8        |     7      |   4   |  17   | 5283  |   0  |
|  309-0    |        6        |     8      |  29   |  18   | 1985  | 2966 |
|  309-1    |        0        |     8      |  29   |  18   | 1985  | 2966 |
|  319-0    |        0        |     8      |  29   |  18   | 1985  | 2966 |
|  319-1    |        6        |     8      |  29   |  18   | 1985  | 2966 |
|  330-0    |        6        |     9      |  22   |  33   |   0   | 5169 |
|  330-1    |        0        |     9      |  22   |  33   |   0   | 5169 |
|  331-0    |        0        |     9      |  22   |  33   | 1950  | 3016 |
|  331-1    |        0        |     9      |  22   |  33   | 1950  | 3016 |
|  332-0    |        0        |     9      |  22   |  33   | 2935  | 1993 |
|  332-1    |        0        |     9      |  22   |  33   | 2935  | 1993 |
|  333-0    |        0        |     9      |  22   |  33   | 2936  | 1985 |
|  333-1    |        0        |     9      |  22   |  33   | 2936  | 1985 |
|  334-0    |        0        |     9      |  20   |   2   |   0   | 5304 |
|  334-1    |        0        |     9      |  20   |   2   |   0   | 5304 |
|  335-0    |        0        |     9      |  22   |  33   | 2936  | 1985 |
|  335-1    |        0        |     9      |  22   |  33   | 2936  | 1985 |
|  336-0    |        0        |     9      |  20   |   2   | 1960  | 3111 |
|  336-1    |        0        |     9      |  20   |   2   | 1960  | 3111 |
|  337-0    |        0        |     9      |  22   |  33   | 2936  | 1985 |
|  337-1    |        0        |     9      |  22   |  33   | 2936  | 1985 |
|  338-0    |        6        |     9      |  20   |   2   | 1974  | 3041 |
|  338-1    |        0        |     9      |  20   |   2   | 1974  | 3041 |
|  339-0    |        0        |     9      |  22   |  33   | 2936  | 1985 |
|  339-1    |        0        |     9      |  22   |  33   | 2936  | 1985 |
|  340-0    |        0        |     9      |  20   |   2   | 2954  | 1979 |
|  340-1    |        0        |     9      |  20   |   2   | 2954  | 1979 |
|  341-0    |        0        |     9      |  22   |  33   | 2936  | 1985 |
|  341-1    |        0        |     9      |  22   |  33   | 2936  | 1985 |
|  342-0    |        0        |     9      |  20   |   2   | 2954  | 1979 |
|  342-1    |        0        |     9      |  20   |   2   | 2954  | 1979 |
|  343-0    |        0        |     9      |  22   |  33   | 2936  | 1985 |
|  343-1    |        0        |     9      |  22   |  33   | 2936  | 1985 |
|  344-0    |        0        |     9      |  20   |   2   | 2954  | 1979 |
|  344-1    |        0        |     9      |  20   |   2   | 2954  | 1979 |
|  345-0    |        0        |     9      |  20   |   2   | 2954  | 1979 |
|  345-1    |        0        |     9      |  20   |   2   | 2954  | 1979 |
|  346-0    |        0        |     9      |  20   |   2   | 2954  | 1979 |
|  346-1    |        0        |     9      |  20   |   2   | 2954  | 1979 |
|  347-0    |        0        |     9      |  20   |   2   | 2954  | 1979 |
|  347-1    |        0        |     9      |  20   |   2   | 2954  | 1979 |
|  348-0    |        8        |     10     |  51   |   5   | 2916  | 2056 |
|  348-1    |        6        |     10     |  51   |   5   | 2916  | 2056 |
|  349-0    |        8        |     10     |  51   |   5   |   0   | 5284 |
|  349-1    |        0        |     10     |  51   |   5   |   0   | 5284 |
|  350-0    |        8        |     10     |  51   |   5   |   0   | 5287 |
|  350-1    |        0        |     10     |  51   |   5   |   0   | 5287 |
|  351-0    |        8        |     10     |  51   |   5   |   0   | 5295 |
|  351-1    |        0        |     10     |  51   |   5   |   0   | 5295 |
|  352-0    |        8        |     10     |  51   |   5   |   0   | 5295 |
|  352-1    |        0        |     10     |  51   |   5   |   0   | 5295 |
|  353-0    |        8        |     10     |  51   |   5   |   0   | 5295 |
|  353-1    |        0        |     10     |  51   |   5   |   0   | 5295 |
|  354-0    |        8        |     10     |  51   |   5   |   0   | 5295 |
|  354-1    |        0        |     10     |  51   |   5   |   0   | 5295 |
|  355-0    |        8        |     10     |  51   |   5   |   0   | 5295 |
|  355-1    |        0        |     10     |  51   |   5   |   0   | 5295 |
|  356-0    |        8        |     10     |  51   |   5   |   0   | 5295 |
|  356-1    |        0        |     10     |  51   |   5   |   0   | 5295 |
|  357-0    |        8        |     11     |  52   |  46   | 2887  | 1899 |
|  357-1    |        6        |     11     |  52   |  46   | 2887  | 1899 |
|  360-0    |        3        |     12     |  47   |  53   | 1895  | 2881 |
|  360-1    |        6        |     12     |  47   |  53   | 1895  | 2881 |
|  371-0    |        0        |     13     |  55   |   2   |   0   | 5305 |
|  371-1    |        0        |     13     |  55   |   2   |   0   | 5305 |
|  372-0    |        0        |     13     |  55   |   2   | 1908  | 3066 |
|  372-1    |        3        |     13     |  55   |   2   | 1908  | 3066 |
|  373-0    |        6        |     13     |  55   |   2   | 2869  | 1891 |
|  373-1    |        0        |     13     |  55   |   2   | 2869  | 1891 |
|  374-0    |        0        |     13     |  55   |   2   | 2869  | 1889 |
|  374-1    |        0        |     13     |  55   |   2   | 2869  | 1889 |
|  375-0    |        0        |     13     |  55   |   2   | 2869  | 1889 |
|  375-1    |        0        |     13     |  55   |   2   | 2869  | 1889 |
|  376-0    |        0        |     13     |  55   |   2   | 2869  | 1889 |
|  376-1    |        0        |     13     |  55   |   2   | 2869  | 1889 |
|  377-0    |        0        |     13     |  55   |   2   | 2869  | 1889 |
|  377-1    |        0        |     13     |  55   |   2   | 2869  | 1889 |
|  378-0    |        0        |     13     |  55   |   2   | 2869  | 1889 |
|  378-1    |        0        |     13     |  55   |   2   | 2869  | 1889 |
|  379-0    |        0        |     13     |  55   |   2   | 2869  | 1889 |
|  379-1    |        0        |     13     |  55   |   2   | 2869  | 1889 |
|  380-0    |        2        |     14     |   8   |   2   | 2961  | 2072 |
|  380-1    |        0        |     14     |   8   |   2   | 2961  | 2072 |
|  381-0    |       11        |     14     |   8   |   2   |   0   | 5232 |
|  381-1    |        0        |     14     |   8   |   2   |   0   | 5232 |
|  386-0    |        6        |     14     |   8   |   2   | 1784  | 3164 |
|  386-1    |        6        |     14     |   8   |   2   | 1784  | 3164 |
|  393-0    |        6        |     14     |   8   |   2   |   0   | 5232 |
|  393-1    |        0        |     14     |   8   |   2   |   0   | 5232 |
|  399-0    |        3        |     14     |   8   |   2   |   0   | 5232 |
|  399-1    |        0        |     14     |   8   |   2   |   0   | 5232 |
|  404-0    |        6        |     14     |   8   |   2   |   0   | 5232 |
|  404-1    |        0        |     14     |   8   |   2   |   0   | 5232 |
|  407-0    |        3        |     14     |   8   |   2   |   0   | 5232 |
|  407-1    |        0        |     14     |   8   |   2   |   0   | 5232 |
|  411-0    |        3        |     14     |   8   |   2   |   0   | 5232 |
|  411-1    |        0        |     14     |   8   |   2   |   0   | 5232 |
|  414-0    |        0        |     14     |   8   |   2   |   0   | 5232 |
|  414-1    |        0        |     14     |   8   |   2   |   0   | 5232 |
|  415-0    |        0        |     15     |   3   |   9   | 2068  | 2955 |
|  415-1    |        2        |     15     |   3   |   9   | 2068  | 2955 |
|  416-0    |        0        |     15     |   9   |  17   | 1768  | 2929 |
|  416-1    |        2        |     15     |   9   |  17   | 1768  | 2929 |
|  417-0    |        0        |     15     |   3   |   9   | 5222  |   0  |
|  417-1    |        6        |     15     |   3   |   9   | 5222  |   0  |
|  418-0    |        0        |     15     |   3   |   9   | 5222  |   0  |
|  418-1    |        6        |     15     |   3   |   9   | 5222  |   0  |
|  419-0    |        0        |     15     |   3   |   9   | 5222  |   0  |
|  419-1    |        3        |     15     |   3   |   9   | 5222  |   0  |
|  420-0    |        0        |     15     |   3   |   9   | 5222  |   0  |
|  420-1    |        3        |     15     |   3   |   9   | 5222  |   0  |
|  422-0    |        8        |     16     |  12   |   4   |   0   | 5245 |
|  422-1    |        0        |     16     |  12   |   4   |   0   | 5245 |
|  425-0    |        8        |     16     |  16   |   4   |   0   | 5271 |
|  425-1    |        0        |     16     |  16   |   4   |   0   | 5271 |
|  428-0    |        3        |     16     |  14   |   4   |   0   | 5254 |
|  428-1    |        0        |     16     |  14   |   4   |   0   | 5254 |
|  429-0    |        5        |     16     |  16   |   4   |   0   | 5271 |
|  429-1    |        0        |     16     |  16   |   4   |   0   | 5271 |
|223-199-0  |        2        |     3      |   5   |  19   | 2094  | 3010 |
|223-199-1  |        3        |     3      |   5   |  19   | 2094  | 3010 |
|329-296-0  |        3        |     7      |  17   |  28   | 2972  | 1989 |
|329-296-1  |        2        |     7      |  17   |  28   | 2972  | 1989 |
|370-357-0  |        3        |     11     |  52   |  46   | 2887  | 1899 |
|370-357-1  |        2        |     11     |  52   |  46   | 2887  | 1899 |
|421-415-0  |        2        |     15     |   3   |   9   | 2068  | 2955 |
|421-415-1  |        3        |     15     |   3   |   9   | 2068  | 2955 |
|421-416-0  |        2        |     15     |   9   |  17   | 1768  | 2929 |
|421-416-1  |        3        |     15     |   9   |  17   | 1768  | 2929 |
|430-381-0  |        2        |     14     |   8   |   2   |   0   | 5232 |
|430-381-1  |        3        |     14     |   8   |   2   |   0   | 5232 |
|430-386-0  |        2        |     14     |   8   |   2   | 1784  | 3164 |
|430-386-1  |        3        |     14     |   8   |   2   | 1784  | 3164 |
|430-422-0  |        2        |     16     |  12   |   4   |   0   | 5245 |
|430-422-1  |        3        |     16     |  12   |   4   |   0   | 5245 |
|430-399-0  |        2        |     14     |   8   |   2   |   0   | 5232 |
|430-399-1  |        3        |     14     |   8   |   2   |   0   | 5232 |
|431-381-0  |        2        |     14     |   8   |   2   |   0   | 5232 |
|431-381-1  |        3        |     14     |   8   |   2   |   0   | 5232 |
|431-386-0  |        2        |     14     |   8   |   2   | 1784  | 3164 |
|431-386-1  |        3        |     14     |   8   |   2   | 1784  | 3164 |
